"day","geoid","cases","cases_avg","cases_avg_per_100k","deaths","deaths_avg","deaths_avg_per_100k","total_vaccinations","people_vaccinated","people_fully_vaccinated"
"2020-12-13","USA","184219","210345.92","63.39","1357","2423.77","0.73","45620","36817","9669"
"2020-12-14","USA","200885","210850.49","63.55","1678","2434.24","0.73","50468","41465","9833"
"2020-12-15","USA","203153","210984.35","63.59","3025","2498.83","0.75","98353","87883","10161"
"2020-12-16","USA","244827","214771.21","64.73","3611","2574.44","0.78","258504","243398","10679"
"2020-12-17","USA","237709","216176.06","65.15","3298","2609.99","0.79","533742","511644","11505"
"2020-12-18","USA","251190","218502.08","65.85","2870","2615.96","0.79","954790","923222","12831"
"2020-12-19","USA","193905","216284.67","65.18","2561","2635.39","0.79","1139003","1103020","13990"
"2020-12-20","USA","179911","215935.81","65.08","1429","2641.96","0.8","1246202","1207930","14813"
"2020-12-21","USA","201518","216028.41","65.11","1963","2692.07","0.81","1633303","1587344","16487"
"2020-12-22","USA","201637","215815.39","65.04","3239","2714.25","0.82","2084575","2029284","19503"
"2020-12-23","USA","227763","213378.04","64.31","3412","2685.16","0.81","2662880","2595428","22769"
"2020-12-24","USA","193511","207256.64","62.46","2824","2624.08","0.79","2860781","2788297","24017"
"2020-12-25","USA","100931","194653.79","58.66","1129","2489.7","0.75","2873624","2800935","24155"
"2020-12-26","USA","216861","189991.3","57.26","1646","2279.58","0.69","3017158","2940849","25225"
"2020-12-27","USA","152089","185516.16","55.91","1230","2228.93","0.67","3114027","3034790","26034"
"2020-12-28","USA","189010","183117.59","55.19","1899","2192.03","0.66","3711556","3617005","30521"
"2020-12-29","USA","201030","183031.27","55.16","3628","2258.46","0.68","4440692","4326189","36033"
"2020-12-30","USA","228949","183194.51","55.21","3808","2316.95","0.7","5289609","5154420","43704"
"2020-12-31","USA","231024","188525.43","56.82","3462","2399.74","0.72","5716312","5570284","47241"
"2021-01-01","USA","147248","195604.95","58.95","1920","2507.43","0.76","5854174","5694637","56597"
"2021-01-02","USA","291610","205235.78","61.85","2373","2586.5","0.78","6123124","5954167","59709"
"2021-01-03","USA","201780","212412.1","64.02","1351","2606.68","0.79","6264523","6087979","62303"
"2021-01-04","USA","251830","215017.32","64.8","2049","2652.03","0.8","6930229","6693548","107970"
"2021-01-05","USA","235016","220002.89","66.3","3689","2660.86","0.8","7771008","7431907","196522"
"2021-01-06","USA","255966","224017.49","67.51","3964","2687.15","0.81","8801611","8268139","371487"
"2021-01-07","USA","280334","230964.37","69.61","4113","2764.7","0.83","9979326","9138645","655638"
"2021-01-08","USA","300777","244360.59","73.64","3895","2942.48","0.89","11224067","9989310","1023633"
"2021-01-09","USA","251919","246664","74.34","3259","3173.8","0.96","11736696","10361380","1153675"
"2021-01-10","USA","208295","247589.24","74.62","1777","3217.65","0.97","11989784","10538948","1223570"
"2021-01-11","USA","226316","251239.55","75.72","2048","3245.72","0.98","13068929","11265251","1550632"
"2021-01-12","USA","229977","250506.18","75.5","4406","3316.26","1","14334853","12187080","1868119"
"2021-01-13","USA","229325","246700.61","74.35","3930","3326.34","1","15669707","13222990","2141448"
"2021-01-14","USA","239522","240968.47","72.62","3980","3322.86","1","16995452","14385052","2279153"
"2021-01-15","USA","239853","232195.04","69.98","3749","3309.36","1","18264041","15508950","2401789"
"2021-01-16","USA","202193","225074.75","67.83","3341","3323.02","1","18915824","16076975","2474991"
"2021-01-17","USA","170094","219080.89","66.03","1730","3287.25","0.99","19218336","16333247","2517266"
"2021-01-18","USA","141133","209251.74","63.06","1441","3221.1","0.97","20110141","16978110","2746764"
"2021-01-19","USA","186944","201953.14","60.86","2771","3064.11","0.92","21463944","17946827","3107581"
"2021-01-20","USA","185488","195751.66","58.99","4380","3096.8","0.93","23079181","19108490","3532501"
"2021-01-21","USA","190482","189320.66","57.06","4135","3124.67","0.94","24726816","20447780","3811415"
