day,total_vaccinations,people_vaccinated,people_fully_vaccinated
12/13/20,45620,36817,9669
12/14/20,50468,41465,9833
12/15/20,98353,87883,10161
12/16/20,258504,243398,10679
12/17/20,533742,511644,11505
12/18/20,954790,923222,12831
12/19/20,1139003,1103020,13990
12/20/20,1246202,1207930,14813
12/21/20,1633303,1587344,16487
12/22/20,2084575,2029284,19503
12/23/20,2662880,2595428,22769
12/24/20,2860781,2788297,24017
12/25/20,2873624,2800935,24155
12/26/20,3017158,2940849,25225
12/27/20,3114027,3034790,26034
12/28/20,3711556,3617005,30521
12/29/20,4440692,4326189,36033
12/30/20,5289609,5154420,43704
12/31/20,5716312,5570284,47241
1/1/21,5854174,5694637,56597
1/2/21,6123124,5954167,59709
1/3/21,6264523,6087979,62303
1/4/21,6930229,6693548,107970
1/5/21,7771008,7431907,196522
1/6/21,8801611,8268139,371487
1/7/21,9979326,9138645,655638
1/8/21,11224067,9989310,1023633
1/9/21,11736696,10361380,1153675
1/10/21,11989784,10538948,1223570
1/11/21,13068929,11265251,1550632
1/12/21,14334853,12187080,1868119
1/13/21,15669707,13222990,2141448
1/14/21,16995452,14385052,2279153
1/15/21,18264041,15508950,2401789
1/16/21,18915824,16076975,2474991
1/17/21,19218336,16333247,2517266
1/18/21,20110141,16978110,2746764
1/19/21,21463944,17946827,3107581
1/20/21,23079181,19108490,3532501
1/21/21,24726816,20447780,3811415
1/22/21,26373687,21853861,4024485
1/23/21,27287063,22598456,4177806
1/24/21,27690932,22905931,4267342
1/25/21,29075771,23771374,4761605
1/26/21,30746637,24826877,5347952
1/27/21,32684763,26077399,6000698
1/28/21,34655252,27448006,6563770
1/29/21,36580372,28824725,7063931
1/30/21,37602504,29581867,7309441
1/31/21,38066296,29904700,7439022
2/1/21,39485009,30689278,8025696
2/2/21,41197818,31658111,8731841
2/3/21,43351693,32922119,9573333
2/4/21,45708674,34310101,10493690
2/5/21,48076553,35667252,11461790
2/6/21,49383802,36521023,11886941
2/7/21,49827294,36796219,12045089
2/8/21,51414409,37635054,12755772
2/9/21,53396358,38671322,13659168
2/10/21,55714633,39902399,14704438
2/11/21,58136047,41179619,15805159
2/12/21,60741211,42566921,16971653
2/13/21,62219717,43439991,17545883
2/14/21,62811106,43783854,17777513
2/15/21,64010045,44401512,18323001
2/16/21,65636435,45198913,19115477
2/17/21,67610948,46135232,20111570
2/18/21,69474219,46968799,21092098
2/19/21,71445759,47788087,22195115
2/20/21,72757200,48384342,22880324
2/21/21,73358924,48639402,23207465
2/22/21,74828958,49254909,24016800
2/23/21,76775442,50119355,25051385
2/24/21,79311352,51363520,26294065
2/25/21,82257772,52899249,27645539
2/26/21,85379828,54568528,29040426
2/27/21,87376038,55705443,29864103
2/28/21,88232689,56236747,30163870
3/1/21,90330534,57457783,30976924
3/2/21,92805077,58922002,31947383
3/3/21,95721666,60664565,33083812
3/4/21,98931744,62620210,34337816
3/5/21,102173757,64626215,35659038
3/6/21,104242436,65977094,36532157
3/7/21,105176040,66654619,36884011
3/8/21,107350219,68136544,37748021
3/9/21,110074225,69949085,38844767
3/10/21,113219962,72021699,40128395
3/11/21,116688784,74317090,41541840
3/12/21,120141884,76452204,43084511
3/13/21,122343966,77839621,44116183
3/14/21,123329855,78486481,44548562
3/15/21,125612278,79982982,45428572
3/16/21,128506033,81916720,46492000
3/17/21,131682691,84047509,47637696
3/18/21,135084905,86339652,48855798
3/19/21,138405274,88544162,50088903
3/20/21,140570830,89962203,50955635
3/21/21,141598741,90645717,51336336
3/22/21,143955592,92245549,52151397
3/23/21,147015330,94223506,53312733
3/24/21,150569265,96427827,54747062
3/25/21,154393853,98683388,56407425
3/26/21,158206894,100771604,58221293
3/27/21,160682919,102142533,59391813
3/28/21,161894806,102813395,59944968
3/29/21,164728895,104418326,61229018
3/30/21,168321927,106428542,62900117
3/31/21,172494725,108836606,64852669
4/1/21,177076502,111366707,67123179
4/2/21,180723033,113410787,68954015
4/3/21,183030847,114735732,70118739
4/4/21,183796134,115173732,70491683
4/5/21,186899414,116907607,72099738
4/6/21,190874444,119190986,74190247
4/7/21,195235067,121749584,76507143
4/8/21,199738657,124309301,79041912
4/9/21,204055134,126741072,81496071
4/10/21,206950142,128465664,83163225
4/11/21,208353016,129298792,83968805
4/12/21,211379731,130941481,85698935
4/13/21,214865134,132687710,87421998
4/14/21,218574244,134425980,89353466
4/15/21,222334927,136188957,91307354
4/16/21,225950584,137840787,93232139
4/17/21,228320920,139003409,94417981
4/18/21,229457616,139542431,95002531
4/19/21,232049874,140634414,96470704
4/20/21,235289528,142000331,98309408
4/21/21,238781654,143392407,100367926
4/22/21,242291910,144807065,102425820
4/23/21,245604243,146175661,104335708
4/24/21,247820516,147178664,105531936
4/25/21,248816796,147668988,106030337
4/26/21,251217978,148611252,107469048
4/27/21,254122446,149725077,109263630
4/28/21,257220868,150875472,111234752
4/29/21,260284037,151999126,113220949
4/30/21,263209607,153123692,115074274
5/1/21,265082725,153838605,116251632
5/2/21,265965311,154165237,116839223
5/3/21,267938366,154809400,118243372
5/4/21,270449723,155630438,120005585
5/5/21,273013863,156451090,121821713
5/6/21,275549433,157234158,123648270
5/7/21,278072481,158034336,125444391
5/8/21,279615963,158540883,126539674
5/9/21,280233338,158745361,126979633
5/10/21,281845756,159229735,128159666
5/11/21,283903317,159888862,129618664
5/12/21,285930430,160535042,131065693
5/13/21,288220296,161465741,132482306
5/14/21,290685802,162562974,133928070
5/15/21,292543580,163474883,134926393
5/16/21,293481568,163954568,135415319
5/17/21,295313838,164844565,136432625
5/18/21,297397450,165840096,137604156
5/19/21,299495675,166830923,138790490
5/20/21,301525193,167754807,139975587
5/21/21,303597826,168690189,141191057
5/22/21,305053382,169421660,141967984
5/23/21,305713996,169761157,142316361
5/24/21,307042685,170398835,143073807
5/25/21,308489320,171069780,143919341
5/26/21,309934797,171734539,144764763
5/27/21,311292638,172352403,145570383
5/28/21,312634870,172962731,146363892
5/29/21,313406009,173347140,146787772
5/30/21,313793224,173548922,146993999
5/31/21,313997712,173638666,147117126
6/1/21,315286109,174171253,147911971
6/2/21,316412601,174667929,148600173
6/3/21,317669791,175132902,149447706
6/4/21,319086318,175635124,150419130
6/5/21,320166407,175990760,151178104
6/6/21,320687243,176162803,151544876
6/7/21,321768537,176537052,152293833
6/8/21,322951685,176941527,153119134
6/9/21,324126137,177334244,153947620
6/10/21,325303229,177739683,154769267
6/11/21,326544221,178168641,155631661
6/12/21,327443326,178450294,156279042
6/13/21,327839088,178563805,156577925
6/14/21,328759101,178896548,157203653
6/15/21,329744485,179257897,157870547
6/16/21,330695630,179616231,158507464
6/17/21,331595411,179967748,159103536
6/18/21,332523845,180336534,159706319
6/19/21,333101435,180567840,160077969
6/20/21,333379912,180680215,160255045
6/21/21,333945577,180982647,160551577
6/22/21,334705734,181306712,161024262
6/23/21,335446508,181637579,161470302
6/24/21,336150148,181956089,161891776
6/25/21,336921541,182306817,162348742
6/26/21,337423329,182532541,162645955
6/27/21,337692191,182659719,162797623
6/28/21,338249878,182935697,163105683
6/29/21,338880595,183233290,163466073
6/30/21,339517243,183541437,163820348
7/1/21,340134935,183837138,164159915
7/2/21,340758805,184143764,164504455
7/3/21,341117662,184325874,164694291
7/4/21,341168658,184353899,164721942
7/5/21,341567690,184555831,164931970
7/6/21,342154834,184829857,165272246
7/7/21,342728862,185112829,165594179
7/8/21,343296740,185401571,165907061
7/9/21,343931531,185723939,166253794
7/10/21,344333935,185935691,166461897
7/11/21,344551459,186052633,166570606
7/12/21,345074839,186328150,166846254
7/13/21,345604611,186609815,167119174
7/14/21,346139725,186894730,167393631
7/15/21,346684121,187193532,167664223
7/16/21,347309592,187540278,167969133
7/17/21,347710722,187764228,168159247
7/18/21,347945224,187899544,168265353
7/19/21,348514545,188238908,168518995
7/20/21,349119207,188609484,168777989
7/21/21,349752329,188996202,169047980
7/22/21,350406377,189414334,169309341
7/23/21,351154305,189900995,169598439
7/24/21,351617554,190202135,169773393
7/25/21,351877915,190404278,169837362
7/26/21,352524039,190851832,170060267
7/27/21,353228600,191333172,170313715
7/28/21,353952553,191825383,170574770
7/29/21,354676925,192324298,170829845
7/30/21,355518404,192902517,171125189
7/31/21,356038132,193250303,171307489
8/1/21,356377861,193481569,171409424
8/2/21,357103617,193990270,171649401
8/3/21,357871567,194530994,171905088
8/4/21,358655216,195086109,172162718
8/5/21,359454531,195649555,172429431
8/6/21,360370503,196279987,172743457
8/7/21,360934260,196665066,172934988
8/8/21,361288186,196904648,173053736
8/9/21,362077715,197428551,173342789
8/10/21,362884577,197962296,173640502
8/11/21,363660453,198464661,173938567
8/12/21,364471389,198982786,174255060
